iter	Passed	Remaining
595	1621	1099
596	1624	1096
597	1627	1093
598	1629	1091
599	1632	1088
600	1634	1085
601	1637	1082
602	1639	1079
603	1641	1076
604	1644	1073
605	1646	1070
606	1649	1067
607	1651	1064
608	1654	1062
609	1656	1059
610	1659	1056
611	1661	1053
612	1664	1051
613	1667	1048
614	1669	1045
615	1672	1042
616	1674	1039
617	1677	1036
618	1680	1034
619	1682	1031
620	1685	1028
621	1687	1025
622	1690	1022
623	1692	1020
624	1695	1017
625	1697	1014
626	1700	1011
627	1702	1008
628	1705	1006
629	1708	1003
630	1710	1000
631	1713	997
632	1715	994
633	1718	992
634	1720	989
635	1723	986
636	1725	983
637	1727	980
638	1730	977
639	1732	974
640	1735	971
641	1737	969
642	1740	966
643	1742	963
644	1745	960
645	1747	957
646	1750	955
647	1753	952
648	1755	949
649	1758	946
650	1760	943
651	1763	941
652	1766	938
653	1768	935
654	1771	932
655	1773	930
656	1776	927
657	1778	924
658	1781	921
659	1783	918
660	1785	915
661	1788	913
662	1791	910
663	1793	907
664	1796	904
665	1799	902
666	1801	899
667	1804	896
668	1806	893
669	1809	891
670	1811	888
671	1814	885
672	1816	882
673	1819	879
674	1821	877
675	1824	874
676	1827	871
677	1829	869
678	1832	866
679	1835	863
680	1839	861
681	1841	858
682	1844	856
683	1847	853
684	1849	850
685	1852	848
686	1856	845
687	1859	843
688	1863	840
689	1865	838
690	1868	835
691	1871	833
692	1874	830
693	1876	827
694	1879	824
695	1881	821
696	1884	819
697	1887	816
698	1889	813
699	1892	811
700	1894	808
701	1897	805
702	1900	802
703	1902	799
704	1904	796
705	1906	793
706	1908	790
707	1910	788
708	1913	785
709	1915	782
710	1918	779
711	1920	776
712	1922	773
713	1925	771
714	1927	768
715	1929	765
716	1931	762
717	1933	759
718	1935	756
719	1936	753
720	1939	750
721	1941	747
722	1943	744
723	1946	741
724	1948	739
725	1950	736
726	1952	733
727	1954	730
728	1956	727
729	1959	724
730	1961	721
731	1964	719
732	1966	716
733	1969	713
734	1971	710
735	1973	708
736	1976	705
737	1978	702
738	1981	699
739	1983	696
740	1986	694
741	1988	691
742	1991	688
743	1993	686
744	1996	683
745	1999	680
746	2001	677
747	2004	675
748	2006	672
749	2009	669
750	2012	667
751	2014	664
752	2017	661
753	2019	658
754	2022	656
755	2024	653
756	2027	650
757	2029	647
758	2032	645
759	2034	642
760	2037	639
761	2039	637
762	2042	634
763	2044	631
764	2047	628
765	2050	626
766	2052	623
767	2055	620
768	2057	618
769	2060	615
770	2063	612
771	2066	610
772	2068	607
773	2071	604
774	2073	602
775	2076	599
776	2078	596
777	2081	593
778	2083	591
779	2086	588
780	2089	585
781	2092	583
782	2094	580
783	2097	577
784	2099	575
785	2102	572
786	2104	569
787	2106	566
788	2109	564
789	2112	561
790	2114	558
791	2117	556
792	2119	553
793	2122	550
794	2124	547
795	2127	545
796	2129	542
797	2132	539
798	2135	537
799	2137	534
800	2139	531
801	2142	528
802	2144	526
803	2147	523
804	2150	520
805	2152	518
806	2154	515
807	2156	512
808	2159	509
809	2161	507
810	2164	504
811	2167	501
812	2169	499
813	2172	496
814	2174	493
815	2177	490
816	2179	488
817	2182	485
818	2184	482
819	2187	480
820	2189	477
821	2191	474
822	2194	471
823	2196	469
824	2199	466
825	2201	463
826	2204	461
827	2206	458
828	2209	455
829	2211	452
830	2214	450
831	2216	447
832	2219	444
833	2221	442
834	2224	439
835	2226	436
836	2229	434
837	2231	431
838	2234	428
839	2236	426
840	2239	423
841	2241	420
842	2244	417
843	2246	415
844	2249	412
845	2251	409
846	2254	407
847	2256	404
848	2259	401
849	2261	399
850	2264	396
851	2267	393
852	2270	391
853	2272	388
854	2275	385
855	2278	383
856	2280	380
857	2283	377
858	2285	375
859	2287	372
860	2290	369
861	2293	367
862	2295	364
863	2298	361
864	2300	359
865	2303	356
866	2305	353
867	2308	350
868	2311	348
869	2313	345
870	2315	343
871	2318	340
872	2320	337
873	2323	334
874	2326	332
875	2328	329
876	2331	326
877	2334	324
878	2336	321
879	2338	318
880	2341	316
881	2344	313
882	2347	311
883	2349	308
884	2351	305
885	2354	302
886	2357	300
887	2359	297
888	2362	294
889	2365	292
890	2367	289
891	2370	287
892	2373	284
893	2375	281
894	2378	279
895	2380	276
896	2383	273
897	2385	271
898	2388	268
899	2391	265
900	2393	263
901	2396	260
902	2398	257
903	2401	255
904	2403	252
905	2406	249
906	2409	247
907	2411	244
908	2414	241
909	2416	239
910	2419	236
911	2421	233
912	2424	231
913	2426	228
914	2429	225
915	2431	223
916	2434	220
917	2436	217
918	2439	215
919	2441	212
920	2444	209
921	2447	207
922	2450	204
923	2452	201
924	2455	199
925	2458	196
926	2461	193
927	2464	191
928	2466	188
929	2469	185
930	2471	183
931	2474	180
932	2477	177
933	2480	175
934	2482	172
935	2485	169
936	2487	167
937	2490	164
938	2492	161
939	2495	159
940	2498	156
941	2500	153
942	2503	151
943	2505	148
944	2508	145
945	2511	143
946	2513	140
947	2516	138
948	2519	135
949	2522	132
950	2524	130
951	2527	127
952	2529	124
953	2532	122
954	2534	119
955	2537	116
956	2539	114
957	2542	111
958	2545	108
959	2547	106
960	2550	103
961	2552	100
962	2555	98
963	2558	95
964	2560	92
965	2563	90
966	2565	87
967	2568	84
968	2570	82
969	2573	79
970	2575	76
971	2578	74
972	2580	71
973	2583	68
974	2585	66
975	2588	63
976	2590	60
977	2593	58
978	2595	55
979	2598	53
980	2601	50
981	2603	47
982	2606	45
983	2608	42
984	2611	39
985	2613	37
986	2616	34
987	2618	31
988	2621	29
989	2624	26
990	2626	23
991	2628	21
992	2631	18
993	2634	15
994	2636	13
995	2639	10
996	2641	7
997	2643	5
998	2646	2
999	2649	0
